damage,kills,rifle,sniper,pistol,smg,grenade,preplant kill,postplant kill,fast_kill_rating (first_kill),total kills,total deaths,avg kill time,assists,alone kills,Avg Distance to A bomb (on kill),times in catwalk_box,times in topmid_box,times in chair_box,times in midlane_box,times in underpass_box,times in window_box,times in stairs_box,times in tetris_box,times in sandwhich_box,times in Asite_box,times in firebox_box,times in jungle_box,times in connector_box,times in opening_box,times in opening2_box,times in A_main_box,times in T_ramp_box,times in hell_box,times in palace_box,times in pillars_box,times in ticket_box,times in CT_ramp_box,alone_death,total_distance_traveled,Role,id
410,3,0,0,0,3,0,2,1,4,3,8,650.85235,8,1,578.3071058999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2753.0295260000003,,76561197973138976
667,5,2,0,2,0,0,3,2,4,5,6,278.318,9,0,167.1333859,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,3296.92591,0.0,76561198163229386
889,7,5,0,0,2,0,7,0,4,7,8,275.3954667,12,0,255.0224127,0,0,0,1,0,1,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,1,4038.9205909999996,2.0,76561198121019442
895,9,0,4,4,1,0,8,1,5,9,8,230.022325,9,0,206.96562749999998,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,1,3167.664111,3.0,76561198200132158
447,3,3,0,0,0,0,2,1,5,3,7,524.1419999999999,8,0,512.250959,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3627.396528,,76561198342010381
497,5,3,1,1,0,0,4,1,3,5,8,412.88975,9,0,249.91290899999998,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,3,3478.12094,0.0,76561198218888429
693,5,3,0,2,0,0,2,3,4,5,6,376.7071,6,2,420.47478830000006,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,2,4601.159997,4.0,76561198351614009
1141,14,9,2,3,0,0,10,4,5,14,4,175.49041540000002,12,4,164.1302128,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2,1,0,1,1,0,0,0,1,4613.027508,1.0,76561198050911985
1039,14,9,3,2,0,0,8,6,5,14,6,164.60460769999997,12,2,139.33545719999998,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,4802.795376,2.0,76561198240900414
911,7,5,0,0,2,0,6,1,4,7,13,363.97743330000003,11,2,376.3047403,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,2,4492.652591,,76561198322385748
744,6,1,1,1,3,0,4,2,5,6,8,355.1201,10,0,304.339788,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,3,3098.783262,0.0,76561197987779161
618,14,3,1,0,10,0,14,0,4,14,7,162.84960769999998,7,1,131.6838629,7,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,3856.280836,1.0,76561198143322388
1205,12,10,1,0,1,0,11,1,5,12,17,189.00365449999998,12,3,182.57628400000002,0,1,0,0,0,2,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,4105.077695,4.0,76561198273215840
1257,12,11,1,0,0,0,12,0,4,12,11,204.6701727,16,4,192.1575644,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2,0,0,0,7,4954.003861,4.0,76561198197075883
648,8,6,0,0,2,0,7,1,3,8,13,281.64702860000006,6,1,252.99673169999997,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,0,0,0,0,0,0,5,3204.601897,0.0,76561198008906339
655,7,5,0,0,2,0,6,1,3,7,12,192.91175,6,1,202.2380562,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,1,0,0,1,3393.0153600000003,0.0,76561198201226531
522,5,0,5,0,0,0,5,0,5,5,5,300.39275,4,2,279.89662539999995,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1745.715229,3.0,76561198323615998
707,8,1,6,1,0,0,8,0,5,8,3,170.0902,7,1,96.72120301,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2200.69324,3.0,76561198217364244
973,9,2,5,2,0,0,6,3,4,9,4,150.899675,13,1,105.4491932,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,4631.5132490000005,3.0,76561198129930965
732,7,6,0,0,1,0,7,0,5,7,3,129.7641,9,0,117.33559220000001,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,2998.242958,1.0,76561198178182678
207,1,0,1,0,0,0,0,1,5,1,4,0.0,3,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2192.441719,,76561198113349550
506,4,3,1,0,0,0,3,1,5,4,7,186.3684667,8,3,30.44325739,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,2456.131651,4.0,76561198364924235
270,2,1,1,0,0,0,2,0,4,2,6,14.3152,5,0,6.52482318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2129.739278,2.0,76561198084363685
564,5,4,0,1,0,0,4,1,5,5,5,134.072175,7,2,260.2239154,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,4,2650.982817,,76561197961944679
612,6,3,2,1,0,0,6,0,5,6,5,187.09792,6,0,183.05864119999998,1,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2912.418598,3.0,76561198360088421
311,2,0,0,0,0,0,2,0,5,2,7,10.877,2,0,182.52081930000003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2246.856268,,76561198112707955
481,3,3,0,0,0,0,3,0,4,3,4,278.559,5,0,294.42481949999996,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,565.0110614,,76561198103161129
299,3,0,2,0,0,1,3,0,4,3,2,287.9192,4,2,235.78843109999997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,562.2481461,,76561198049825612
302,2,1,1,0,0,0,2,0,3,2,2,545.928,3,0,676.5842155,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1829.8037800000002,4.0,76561197985776228
295,4,3,0,0,0,0,3,1,4,4,2,358.0446667,3,4,514.6539638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1069.009165,,76561198234094956
416,5,2,3,0,0,0,4,1,5,5,2,153.89075,4,0,91.32989623,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,902.3858422000001,,76561198115889577
