"ID","damage","kills","rifle","sniper","pistol","smg","grenade","preplant.kill","postplant.kill","fast_kill_rating..first_kill.","total.kills","total.deaths","avg.kill.time","assists","alone.kills","Avg.Distance.to.A.bomb..on.kill.","times.in.catwalk_box","times.in.topmid_box","times.in.chair_box","times.in.midlane_box","times.in.underpass_box","times.in.window_box","times.in.stairs_box","times.in.tetris_box","times.in.sandwhich_box","times.in.Asite_box","times.in.firebox_box","times.in.jungle_box","times.in.connector_box","times.in.opening_box","times.in.opening2_box","times.in.A_main_box","times.in.T_ramp_box","times.in.hell_box","times.in.palace_box","times.in.pillars_box","times.in.ticket_box","times.in.CT_ramp_box","alone_death","total_distance_traveled","Role"
76561198273215808,1205,12,10,1,0,1,0,11,1,5,12,17,189.0036545,12,3,182.576284,0,1,0,0,0,2,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,4105.077695,4
76561198197075808,1257,12,11,1,0,0,0,12,0,4,12,11,204.6701727,16,4,192.1575644,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2,0,0,0,7,4954.003861,4
76561198008906304,648,8,6,0,0,2,0,7,1,3,8,13,281.6470286,6,1,252.9967317,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,0,0,0,0,0,0,5,3204.601897,0
76561198201226496,655,7,5,0,0,2,0,6,1,3,7,12,192.91175,6,1,202.2380562,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,1,0,0,1,3393.01536,0
76561198505695696,76,0,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1590.72095,1
76561198323615904,522,5,0,5,0,0,0,5,0,5,5,5,300.39275,4,2,279.8966254,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1745.715229,3
76561198217364192,707,8,1,6,1,0,0,8,0,5,8,3,170.0902,7,1,96.72120301,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2200.69324,3
76561198129930896,973,9,2,5,2,0,0,6,3,4,9,4,150.899675,13,1,105.4491932,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,4631.513249,3
76561198178182592,732,7,6,0,0,1,0,7,0,5,7,3,129.7641,9,0,117.3355922,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,2998.242958,1
76561198113349504,207,1,0,1,0,0,0,0,1,5,1,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2192.441719,1
76561198364924192,506,4,3,1,0,0,0,3,1,5,4,7,186.3684667,8,3,30.44325739,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,2456.131651,4
76561198084363600,270,2,1,1,0,0,0,2,0,4,2,6,14.3152,5,0,6.52482318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2129.739278,2
76561197961944608,564,5,4,0,1,0,0,4,1,5,5,5,134.072175,7,2,260.2239154,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,4,2650.982817,2
76561198360088400,612,6,3,2,1,0,0,6,0,5,6,5,187.09792,6,0,183.0586412,1,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2912.418598,3
76561198112707904,311,2,0,0,0,0,0,2,0,5,2,7,10.877,2,0,182.5208193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2246.856268,1
76561198103161104,481,3,3,0,0,0,0,3,0,4,3,4,278.559,5,0,294.4248195,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,565.0110614,0
76561198049825600,299,3,0,2,0,0,1,3,0,4,3,2,287.9192,4,2,235.7884311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,562.2481461,2
76561197985776192,302,2,1,1,0,0,0,2,0,3,2,2,545.928,3,0,676.5842155,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1829.80378,4
76561198234094896,295,4,3,0,0,0,0,3,1,4,4,2,358.0446667,3,4,514.6539638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1069.009165,4
76561198115889504,416,5,2,3,0,0,0,4,1,5,5,2,153.89075,4,0,91.32989623,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,902.3858422,0
76561198324350896,201,2,1,0,0,1,0,1,1,3,2,3,860.4144,4,0,786.4302956,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2480.055351,4
76561198351970000,351,4,0,3,1,0,0,3,1,5,4,3,371.0571,4,0,340.7905755,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,2,0,0,0,0,1,879.2043501,3
76561198320321104,271,2,2,0,0,0,0,2,0,5,2,4,8.9702,3,0,93.13507771,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1011.069464,1
76561198287952800,280,2,0,2,0,0,0,2,0,5,2,4,19.315,2,0,43.89920156,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1199.192317,1
76561198041539200,284,2,2,0,0,0,0,2,0,4,2,3,548.084,1,0,504.7150723,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2,1426.325789,2
76561198181334304,1259,12,10,2,0,0,0,9,3,5,12,11,243.6974818,15,3,229.807567,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,5,5963.23619,2
76561198057256896,1812,15,13,1,0,1,0,10,5,4,15,9,168.5561643,19,8,196.3699598,0,0,0,1,0,2,0,0,0,0,0,2,0,0,1,3,0,0,0,0,1,2,5,5947.698075,4
76561198273962592,2006,19,18,0,0,0,1,15,4,4,19,9,146.2502556,16,3,144.3483541,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,2,4,0,0,0,3,8845.295245,0
76561198066317104,578,6,2,2,0,0,0,6,0,5,6,14,461.49868,8,2,467.9969694,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,0,0,1,0,0,0,1,2,6229.489631,0
76561198083280896,634,5,0,4,1,0,0,4,1,5,5,13,38.548,12,0,19.3005319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4240.73692,3
76561198271873904,1696,13,10,1,0,1,0,12,1,5,13,11,223.8581583,19,1,198.0273124,0,0,0,0,0,0,1,0,0,0,0,0,2,0,2,1,0,0,0,0,0,0,2,7088.750597,2
76561198162090704,1087,9,9,0,0,0,0,7,2,3,9,11,327.4299625,14,1,332.0080194,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,4627.942097,0
76561198061520000,1592,14,8,1,3,1,0,12,2,3,14,11,203.5342385,17,4,172.179064,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,5,6655.735673,4
76561198203831200,1311,13,11,1,1,0,0,11,2,5,13,10,210.579175,17,3,207.0813026,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,1,1,3,0,0,0,2,4767.560759,2
76561198268643200,798,7,5,0,1,1,0,6,1,5,7,14,397.4654833,6,2,401.8305099,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,3,0,0,0,0,4,4462.94929,4
76561197967729200,1082,10,8,0,0,1,1,10,0,4,10,6,206.9145667,13,1,168.3888362,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2771.179789,2
76561198414606592,757,11,3,5,0,2,1,10,1,4,11,6,182.62805,9,1,187.8047145,0,0,0,1,0,3,1,0,0,0,0,1,0,3,0,0,0,0,0,1,0,0,2,3137.383245,3
76561198395557600,767,9,8,0,0,1,0,8,1,5,9,6,225.18235,10,1,206.2241667,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,2,3263.297904,2
76561198360374400,482,2,0,0,0,2,0,2,0,5,2,6,230.993,8,0,525.3586678,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,4054.063834,3
76561198404021904,728,4,1,2,0,1,0,4,0,5,4,7,579.4888,9,0,544.8319224,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,2471.160477,3
76561198076100496,958,11,8,1,1,1,0,9,2,5,11,7,182.10599,11,6,137.4654153,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,1,3,0,0,0,0,2,2966.860296,4
76561198035344192,898,10,2,8,0,0,0,10,0,5,10,7,209.0890111,11,1,178.2623793,0,1,0,0,0,2,1,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,1,3922.849329,3
76561198089041104,523,4,3,1,0,0,0,4,0,5,4,8,306.9383333,6,0,205.7326746,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,2337.026055,0
76561198351364800,417,2,2,0,0,0,0,2,0,5,2,8,1319.028,5,0,1211.592959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,2232.340114,0
76561198023316992,359,4,3,0,0,1,0,2,2,5,4,6,395.805,2,3,328.3057156,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2456.881253,4
