ID,damage,kills,rifle,sniper,pistol,smg,grenade,preplant kill,postplant kill,fast_kill_rating (first_kill),total kills,total deaths,avg kill time,assists,alone kills,Avg Distance to A bomb (on kill),times in catwalk_box,times in topmid_box,times in chair_box,times in midlane_box,times in underpass_box,times in window_box,times in stairs_box,times in tetris_box,times in sandwhich_box,times in Asite_box,times in firebox_box,times in jungle_box,times in connector_box,times in opening_box,times in opening2_box,times in A_main_box,times in T_ramp_box,times in hell_box,times in palace_box,times in pillars_box,times in ticket_box,times in CT_ramp_box,alone_death,total_distance_traveled
7.65612E+16,508,5,5,0,0,0,0,2,3,5,5,5,219.409325,6,2,182.1908714,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2039.374671
7.65612E+16,1128,10,9,0,0,1,0,6,4,4,10,3,221.1371444,10,5,197.3662819,0,0,0,1,0,2,0,0,0,0,0,2,0,0,1,1,0,0,0,0,0,2,2,2784.63011
7.65612E+16,856,9,9,0,0,0,0,5,4,4,9,4,249.291075,6,1,178.93144,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,2,0,0,0,2,4039.917515
7.65612E+16,322,3,0,1,0,0,0,3,0,5,3,6,171.9925,5,0,213.303689,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1154.036547
7.65612E+16,126,0,0,0,0,0,0,0,0,0,0,6,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1868.527484
7.65612E+16,749,4,3,0,0,1,0,3,1,5,4,6,397.1946333,8,1,334.6040191,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2,2876.43213
7.65612E+16,631,5,5,0,0,0,0,3,2,3,5,5,484.719675,9,0,422.3525114,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2899.354054
7.65612E+16,698,6,6,0,0,0,0,6,0,3,6,5,226.93282,7,2,203.3504516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,3834.075271
7.65612E+16,575,6,4,1,1,0,0,5,1,5,6,5,215.51782,7,2,247.0708363,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,2,0,0,0,1,1963.035028
7.65612E+16,302,3,3,0,0,0,0,2,1,5,3,6,275.79695,3,0,267.5744571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2,2622.185898
7.65612E+16,251,1,0,0,0,1,0,1,0,5,1,2,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,350.8410634
7.65612E+16,250,4,1,1,0,2,0,3,1,5,4,2,224.5533333,4,1,193.1247286,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,824.0196501
7.65612E+16,144,3,2,0,0,1,0,2,1,5,3,1,359.401,3,1,273.9506865,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,709.6019787
7.65612E+16,80,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,545.9426792
7.65612E+16,237,1,0,0,0,1,0,1,0,5,1,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1079.224183
7.65612E+16,156,2,2,0,0,0,0,2,0,4,2,2,3.376,3,2,43.41070984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,160.1112271
7.65612E+16,341,5,2,3,0,0,0,5,0,4,5,2,168.43825,5,1,105.7625072,0,0,0,0,0,0,1,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,1,744.1857444
7.65612E+16,95,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,357.2877953
7.65612E+16,101,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,225.0886199
7.65612E+16,188,2,2,0,0,0,0,0,2,3,2,1,663.905,1,2,707.6341945,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,580.0465534
7.65612E+16,891,7,6,1,0,0,0,6,1,5,7,2,308.2606167,9,2,305.0644427,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,1,2331.857712
7.65612E+16,136,2,2,0,0,0,0,1,1,3,2,2,1790.6989,3,0,1833.219923,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1157.014008
7.65612E+16,40,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1319.739757
7.65612E+16,373,3,0,3,0,0,0,3,0,5,3,3,106.53985,4,0,145.0880159,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1158.700521
7.65612E+16,488,4,1,3,0,0,0,1,3,4,4,3,618.5534,3,1,631.9130998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,2630.898214
7.65612E+16,134,1,1,0,0,0,0,1,0,5,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,479.9857219
7.65612E+16,502,5,2,2,1,0,0,3,2,4,5,3,468.26825,5,2,387.0561177,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1518.351701
7.65612E+16,288,1,1,0,0,0,0,1,0,3,1,4,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,820.4271897
7.65612E+16,208,1,1,0,0,0,0,1,0,5,1,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1907.716574
7.65612E+16,312,5,3,0,0,2,0,3,2,5,5,2,415.52975,1,1,325.9566366,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1855.842464
7.65612E+16,752,6,5,0,0,1,0,5,1,4,6,4,248.00168,9,1,250.353369,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,2374.001944
7.65612E+16,403,4,2,2,0,0,0,4,0,5,4,4,390.8546667,3,2,350.6583059,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2533.541837
7.65612E+16,571,3,3,0,0,0,0,2,1,5,3,4,754.92495,9,1,821.0237578,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2307.761677
7.65612E+16,434,5,4,0,1,0,0,3,2,5,5,5,428.741375,6,0,429.9329969,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,1703.200531
