"damage","rifle","sniper","pistol","smg","grenade","preplant.kill","postplant.kill","total.kills","total.deaths","avg.kill.time","assists","alone.kills","Avg.Distance.to.A.bomb..on.kill.","alone_death","total_distance_traveled","Role"
775,6,0,1,0,0,7,0,7,12,395.3764833,13,1,443.6815527,1,5678.058452,"0"
1524,4,11,1,0,0,13,3,16,11,142.9699333,18,4,131.1850905,2,5338.12735,"3"
1302,6,5,1,0,0,9,3,12,15,196.0133727,12,4,197.860948,5,7132.328919,"1"
1060,8,0,0,0,0,8,0,8,14,318.0113714,13,0,228.2634368,1,3200.186515,"0"
1608,8,5,2,0,0,13,2,15,13,153.0793571,20,1,167.8290854,2,5404.08953,"3"
1509,13,0,0,1,0,13,1,14,14,160.6776308,16,4,155.8286374,4,3686.674157,"2"
1290,10,0,0,5,0,13,2,15,11,170.24425,3,3,193.5273777,1,5240.38721,"2"
970,3,4,0,0,0,4,3,7,12,283.9421,14,3,284.2697401,1,7472.97995,"0"
1626,19,0,0,0,0,18,1,19,10,112.5763222,20,4,96.29720853,4,5793.410272,"1"
1483,12,0,0,0,0,11,1,12,12,211.6563182,11,2,223.1677249,2,4586.610462,"2"
1493,2,11,0,3,0,16,0,16,10,149.44256,15,0,164.535708,1,4703.186215,"3"
713,2,0,2,0,0,4,0,4,11,546.583,7,2,516.9506781,6,4204.218705,"4"
971,11,3,0,0,0,11,3,14,6,145.4543385,10,5,168.9330325,1,4544.011059,"2"
1476,11,4,0,0,0,14,1,15,17,120.9130429,15,3,101.5547452,6,5280.63645,"0"
834,9,0,0,0,0,7,2,9,6,60.8215,3,0,70.89759532,2,3140.206944,"1"
409,4,0,0,0,0,0,4,4,7,8.721666667,6,4,47.38592206,1,2563.493191,"0"
872,6,1,0,2,0,8,1,9,7,214.809175,10,3,200.1428123,6,4325.91927,"4"
1180,12,2,0,0,0,9,5,14,3,133.6570538,11,0,91.88279117,2,2864.9635,"1"
870,7,0,0,2,0,9,0,9,8,209.3005875,9,2,245.9139977,2,3945.74906,"2"
935,2,6,1,0,0,9,0,9,8,112.1156375,11,2,103.855992,3,2698.923287,"3"
1433,7,7,0,0,1,11,4,15,7,164.1217071,14,4,140.3549563,1,4707.962036,"3"
1153,11,2,1,0,0,9,6,15,9,160.5614714,14,3,148.4612847,2,5852.347759,"0"
2292,15,7,1,0,0,17,6,23,15,92.3124,19,2,79.06012896,1,7889.490255,"1"
1065,15,0,0,3,0,9,9,18,10,108.4746529,15,10,87.84811353,3,8053.381612,"4"
1241,7,4,0,2,0,10,3,13,12,124.8616167,5,8,125.4032887,5,6194.965484,"4"
1357,4,9,0,1,0,10,4,14,8,197.9587308,15,5,190.5994818,1,4548.852861,"3"
1010,4,7,0,0,0,9,2,11,6,160.90304,11,3,181.8862769,2,3015.789613,"3"
1724,3,12,0,0,0,10,6,16,9,142.51154,17,5,131.21815,1,6569.578125,"3"
2013,8,11,2,0,0,16,5,21,9,120.28843,22,5,128.1525453,3,8532.405194,"3"
1842,15,0,0,0,1,13,3,16,11,158.9539,19,4,140.3823707,2,9040.293106,"2"
982,8,0,0,0,0,3,5,8,12,211.0752,4,5,212.335676,6,6943.19001,"0"
1023,5,2,1,0,0,5,3,8,7,101.7977857,11,5,49.62924561,2,2632.565239,"1"
1108,11,1,0,0,1,8,5,13,8,188.1741083,9,5,213.2772056,1,4746.790664,"2"
796,7,0,0,0,0,2,5,7,8,323.4265667,14,3,291.5843378,0,5589.655916,"2"
674,4,1,1,0,1,4,3,7,8,175.6561667,10,1,153.2367955,1,2170.29956,"0"
1253,7,6,2,0,0,7,9,16,4,124.1351333,11,7,89.66514532,2,4777.877691,"0"
1020,5,3,0,2,0,5,5,10,8,198.1544444,11,4,210.5149746,1,5507.554827,"2"
1309,13,0,0,0,0,11,2,13,8,149.662725,4,1,174.8034208,1,4977.931229,"1"
795,3,7,0,0,0,9,1,10,5,124.8671222,7,2,144.352508,3,2643.585413,"3"
814,5,0,4,0,0,5,4,9,6,240.6609125,12,2,198.6200694,0,4942.112952,"2"
932,3,6,0,0,0,8,1,9,6,205.31695,11,1,186.692851,2,2887.046808,"3"
960,0,10,0,1,0,11,0,11,1,115.20559,8,3,66.5826553,0,1611.285079,"3"
813,2,5,0,0,1,7,1,8,6,137.2236857,7,0,105.2968113,1,1589.949778,"3"
3096,8,12,3,5,1,25,4,29,8,88.07580714,33,13,79.93816509,3,6956.553937,"3"
1566,8,4,0,1,0,12,1,13,10,164.9187083,18,3,164.2086346,2,3225.636431,"2"
1778,14,4,1,0,0,17,2,19,9,109.4630389,16,2,119.9615563,1,5458.803377,"1"
702,6,2,0,0,0,4,4,8,5,180.3683714,2,3,183.0227062,2,2507.038968,"4"
911,4,2,0,1,0,6,1,7,11,398.8119333,12,4,355.1810017,3,7207.520949,"4"
1397,11,0,0,2,0,13,0,13,12,195.7234083,15,0,206.623589,2,6062.407052,"2"
1752,6,10,0,0,0,11,5,16,5,95.86238,18,7,108.7203249,1,3861.46738,"3"
388,0,1,0,4,0,3,2,5,10,215.405525,6,0,136.3487635,2,5671.647631,"1"
1168,7,0,0,5,0,8,4,12,7,124.6369364,12,6,113.7318568,4,6093.415744,"4"
1831,11,4,0,1,0,13,3,16,11,143.7564867,20,5,150.5921046,4,5328.909612,"4"
1383,13,0,0,0,0,9,4,13,12,171.8904417,14,0,177.1264317,2,4487.470111,"2"
1155,13,1,0,0,1,9,6,15,9,190.1868071,18,7,189.1334422,5,7498.729142,"0"
1187,8,0,1,1,0,9,1,10,11,252.3184444,16,2,257.2545589,2,4927.162202,"2"
2096,6,13,0,0,0,19,0,19,14,109.9072667,22,4,81.35217171,2,10385.45634,"1"
1450,6,1,3,4,0,10,4,14,16,163.4058538,19,4,188.3201038,3,7302.463579,"1"
2098,17,0,0,1,0,13,5,18,13,120.2345412,22,6,101.3126535,4,7592.616851,"1"
